Title,Calories,Proteins,Fats,Carbohydrates
фасоль кидни красная зрелая консервированная содержимое без жидкости,124,7.98,01.05,15.99
фасоль кидни красная зрелая консервированная содержимое без жидкости промытая водой,121,8.12,0.93,14.8
фасоль кидни красная калифорнийская зрелая вареная без доб соли,124,9.13,0.09,13.11
фасоль кидни красная калифорнийская зрелая вареная с доб соли,124,9.13,0.09,13.11
фасоль кидни красная калифорнийская зрелая сырая,330,24.37,0.25,34.9
фасоль кидни красная королевская зрелая,329,25.33,0.45,33.43
фасоль кидни красная королевская зрелая вареная без доб соли,123,9.49,0.17,12.55
фасоль кидни красная королевская зрелая вареная с доб соли,123,9.49,0.17,12.55
фасоль кидни все виды зрелая,333,23.58,0.83,35.11
фасоль кидни все виды зрелая вареная без соли,127,8.67,0.5,16.4
фасоль кидни все виды зрелая вареная с солью,127,8.67,0.5,16.4
фасоль кидни все виды зрелая консервированная,84,5.22,0.6,10.2
фасоль кидни проросшая,29,4.2,0.5,4.1
фасоль кидни проросшая вареная без соли,33,4.83,0.58,4.72
фасоль кидни проросшая вареная с солью,33,4.83,0.58,4.72
фасоль кранберри римская фасоль борлотти зрелые семена,335,23.03,1.23,35.35
фасоль кранберри римская фасоль борлотти зрелые семена вареная без соли,136,9.34,0.46,15.86
фасоль кранберри римская фасоль борлотти зрелые семена вареная с солью,136,9.34,0.46,15.86
фасоль кранберри римская фасоль борлотти зрелые семена консервированная,83,5.54,0.28,8.82
